"from","from_name","from_birth","from_death","to","to_name","to_birth","to_death","relationship"
"I1","FRANCISCO RIQUELME DE LA BARRERA","1563 Sevilla,España","1627 Santiago,Chile",NA,NA,NA,NA,"father"
"I1","FRANCISCO RIQUELME DE LA BARRERA","1563 Sevilla,España","1627 Santiago,Chile",NA,NA,NA,NA,"mother"
"I1","FRANCISCO RIQUELME DE LA BARRERA","1563 Sevilla,España","1627 Santiago,Chile","I2","Leonor Alvarez de Toledo Alfaro","1577 Angol,Malleco,Chile","Chillán,Ñuble,Chile","spouse"
"I1","FRANCISCO RIQUELME DE LA BARRERA","1563 Sevilla,España","1627 Santiago,Chile","I3","Alonso Riquelme de La Barrera Alvarez","1/1/1595","Chillán,Ñuble,Chile","child"
"I1","FRANCISCO RIQUELME DE LA BARRERA","1563 Sevilla,España","1627 Santiago,Chile","I4","Francisco Riquelme de La Barrera Alvarez","1/1/1621","Chillán,Ñuble,Chile","child"
"I2","Leonor Alvarez de Toledo Alfaro","1577 Angol,Malleco,Chile","Chillán,Ñuble,Chile","I336","Alonso Alvarez de Toledo Mejía","1557 Angol,Malleco,Chile","1636 Arauco,Chile","father"
"I2","Leonor Alvarez de Toledo Alfaro","1577 Angol,Malleco,Chile","Chillán,Ñuble,Chile","I337","Isabel Alfaro","1557 Angol,Arauco,Chile","Chillán,Ñuble,Chile","mother"
"I2","Leonor Alvarez de Toledo Alfaro","1577 Angol,Malleco,Chile","Chillán,Ñuble,Chile","I1","FRANCISCO RIQUELME DE LA BARRERA","1563 Sevilla,España","1627 Santiago,Chile","spouse"
"I2","Leonor Alvarez de Toledo Alfaro","1577 Angol,Malleco,Chile","Chillán,Ñuble,Chile","I3","Alonso Riquelme de La Barrera Alvarez","1/1/1595","Chillán,Ñuble,Chile","child"
"I2","Leonor Alvarez de Toledo Alfaro","1577 Angol,Malleco,Chile","Chillán,Ñuble,Chile","I4","Francisco Riquelme de La Barrera Alvarez","1/1/1621","Chillán,Ñuble,Chile","child"
"I3","Alonso Riquelme de La Barrera Alvarez","1595 Chillán,Ñuble,Chile","1657 Santiago,Chile","I1","FRANCISCO RIQUELME DE LA BARRERA","1563 Sevilla,España","1627 Santiago,Chile","father"
"I3","Alonso Riquelme de La Barrera Alvarez","1595 Chillán,Ñuble,Chile","1657 Santiago,Chile","I2","Leonor Alvarez de Toledo Alfaro","1577 Angol,Malleco,Chile","Chillán,Ñuble,Chile","mother"
"I3","Alonso Riquelme de La Barrera Alvarez","1595 Chillán,Ñuble,Chile","1657 Santiago,Chile","I5","Melchora Robles Candia","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile","spouse"
"I3","Alonso Riquelme de La Barrera Alvarez","1595 Chillán,Ñuble,Chile","1657 Santiago,Chile","I11","Melchora Riquelme de La Barrera Robles","","Chillán,Ñuble,Chile","child"
"I3","Alonso Riquelme de La Barrera Alvarez","1595 Chillán,Ñuble,Chile","1657 Santiago,Chile","I12","Isabel Riquelme de La Barrera Robles","","Chillán,Ñuble,Chile","child"
"I3","Alonso Riquelme de La Barrera Alvarez","1595 Chillán,Ñuble,Chile","1657 Santiago,Chile","I6","Alonso Riquelme de La Barrera Robles","1/1/1639","Chillán,Ñuble,Chile","child"
"I3","Alonso Riquelme de La Barrera Alvarez","1595 Chillán,Ñuble,Chile","1657 Santiago,Chile","I7","Francisco Riquelme de La Barrera Robles","1/1/1640","Chillán,Ñuble,Chile","child"
"I3","Alonso Riquelme de La Barrera Alvarez","1595 Chillán,Ñuble,Chile","1657 Santiago,Chile","I8","Catalina Riquelme de La Barrera Robles","1/1/1650","Chillan,Ñuble,Chile","child"
"I3","Alonso Riquelme de La Barrera Alvarez","1595 Chillán,Ñuble,Chile","1657 Santiago,Chile","I9","Petronila Riquelme de La Barrera Robles","1/1/1652","Chillán,Ñuble,Chile","child"
"I3","Alonso Riquelme de La Barrera Alvarez","1595 Chillán,Ñuble,Chile","1657 Santiago,Chile","I10","Pedro Riquelme de La Barrera Robles","1/1/1654","Chillán,Ñuble,Chile","child"
"I4","Francisco Riquelme de La Barrera Alvarez","1621 Chillán,Ñuble,Chile","1686 Chillán,Ñuble,Chile","I1","FRANCISCO RIQUELME DE LA BARRERA","1563 Sevilla,España","1627 Santiago,Chile","father"
"I4","Francisco Riquelme de La Barrera Alvarez","1621 Chillán,Ñuble,Chile","1686 Chillán,Ñuble,Chile","I2","Leonor Alvarez de Toledo Alfaro","1577 Angol,Malleco,Chile","Chillán,Ñuble,Chile","mother"
"I4","Francisco Riquelme de La Barrera Alvarez","1621 Chillán,Ñuble,Chile","1686 Chillán,Ñuble,Chile",NA,NA,NA,NA,"spouse"
"I4","Francisco Riquelme de La Barrera Alvarez","1621 Chillán,Ñuble,Chile","1686 Chillán,Ñuble,Chile","I11","Melchora Riquelme de La Barrera Robles","","Chillán,Ñuble,Chile","child"
"I4","Francisco Riquelme de La Barrera Alvarez","1621 Chillán,Ñuble,Chile","1686 Chillán,Ñuble,Chile","I12","Isabel Riquelme de La Barrera Robles","","Chillán,Ñuble,Chile","child"
"I4","Francisco Riquelme de La Barrera Alvarez","1621 Chillán,Ñuble,Chile","1686 Chillán,Ñuble,Chile","I6","Alonso Riquelme de La Barrera Robles","1/1/1639","Chillán,Ñuble,Chile","child"
"I4","Francisco Riquelme de La Barrera Alvarez","1621 Chillán,Ñuble,Chile","1686 Chillán,Ñuble,Chile","I7","Francisco Riquelme de La Barrera Robles","1/1/1640","Chillán,Ñuble,Chile","child"
"I4","Francisco Riquelme de La Barrera Alvarez","1621 Chillán,Ñuble,Chile","1686 Chillán,Ñuble,Chile","I8","Catalina Riquelme de La Barrera Robles","1/1/1650","Chillan,Ñuble,Chile","child"
"I4","Francisco Riquelme de La Barrera Alvarez","1621 Chillán,Ñuble,Chile","1686 Chillán,Ñuble,Chile","I9","Petronila Riquelme de La Barrera Robles","1/1/1652","Chillán,Ñuble,Chile","child"
"I4","Francisco Riquelme de La Barrera Alvarez","1621 Chillán,Ñuble,Chile","1686 Chillán,Ñuble,Chile","I10","Pedro Riquelme de La Barrera Robles","1/1/1654","Chillán,Ñuble,Chile","child"
"I5","Melchora Robles Candia","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile","I598","Alonso Candia Creta","1580 Chillán,Ñuble,Chile","1640 Chillán,Ñuble,Chile","father"
"I5","Melchora Robles Candia","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile","I599","Catalina Robles Cancinos","Angol,Arauco,Chile","Chillán,Ñuble,Chile","mother"
"I5","Melchora Robles Candia","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile","I3","Alonso Riquelme de La Barrera Alvarez","1595 Chillán,Ñuble,Chile","1657 Santiago,Chile","spouse"
"I5","Melchora Robles Candia","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile","I11","Melchora Riquelme de La Barrera Robles","","Chillán,Ñuble,Chile","child"
"I5","Melchora Robles Candia","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile","I12","Isabel Riquelme de La Barrera Robles","","Chillán,Ñuble,Chile","child"
"I5","Melchora Robles Candia","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile","I6","Alonso Riquelme de La Barrera Robles","1/1/1639","Chillán,Ñuble,Chile","child"
"I5","Melchora Robles Candia","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile","I7","Francisco Riquelme de La Barrera Robles","1/1/1640","Chillán,Ñuble,Chile","child"
"I5","Melchora Robles Candia","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile","I8","Catalina Riquelme de La Barrera Robles","1/1/1650","Chillan,Ñuble,Chile","child"
"I5","Melchora Robles Candia","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile","I9","Petronila Riquelme de La Barrera Robles","1/1/1652","Chillán,Ñuble,Chile","child"
"I5","Melchora Robles Candia","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile","I10","Pedro Riquelme de La Barrera Robles","1/1/1654","Chillán,Ñuble,Chile","child"
"I6","Alonso Riquelme de La Barrera Robles","1639 Chillán,Ñuble,Chile","1719 Chillán,Ñuble,Chile","I3","Alonso Riquelme de La Barrera Alvarez","1595 Chillán,Ñuble,Chile","1657 Santiago,Chile","father"
"I6","Alonso Riquelme de La Barrera Robles","1639 Chillán,Ñuble,Chile","1719 Chillán,Ñuble,Chile","I5","Melchora Robles Candia","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile","mother"
"I6","Alonso Riquelme de La Barrera Robles","1639 Chillán,Ñuble,Chile","1719 Chillán,Ñuble,Chile","I17","Paula Gajardo Fernández","Chillán,Ñuble,Chile","Colchagua,Chile","spouse"
"I6","Alonso Riquelme de La Barrera Robles","1639 Chillán,Ñuble,Chile","1719 Chillán,Ñuble,Chile","I602","Catalina Riquelme de La Barrera Sierra Ronquillo","","Chillan,Ñuble,Chile","child"
"I6","Alonso Riquelme de La Barrera Robles","1639 Chillán,Ñuble,Chile","1719 Chillán,Ñuble,Chile","I7213","Angela Riquelme de La Barrera Y Soto Ronquillo","","Chillán,Ñuble,Chile","child"
"I6","Alonso Riquelme de La Barrera Robles","1639 Chillán,Ñuble,Chile","1719 Chillán,Ñuble,Chile","I29","Alonso Riquelme de La Barrera de Sierra Ronquillo","","Chillan,Ñuble,Chile","child"
"I6","Alonso Riquelme de La Barrera Robles","1639 Chillán,Ñuble,Chile","1719 Chillán,Ñuble,Chile","I30","Rosa Isabel Riquelme de La Barrera y Sierra Ronquillo","","Chillán,Ñuble,Chile","child"
"I6","Alonso Riquelme de La Barrera Robles","1639 Chillán,Ñuble,Chile","1719 Chillán,Ñuble,Chile","I31","Juan Riquelme de La Barrera Soto","1/1/1655","Chillan,Ñuble,Chile","child"
"I6","Alonso Riquelme de La Barrera Robles","1639 Chillán,Ñuble,Chile","1719 Chillán,Ñuble,Chile","I32","Jerónima Riquelme de La Barrera de Sierra Ronquillo","1/1/1660","Chillan,Ñuble,Chile","child"
"I6","Alonso Riquelme de La Barrera Robles","1639 Chillán,Ñuble,Chile","1719 Chillán,Ñuble,Chile","I1386","Juana Riquelme de La Barrera Y Sierra Ronquillo","1/1/1675","Chillan,Ñuble,Chile","child"
